"Repository","https://github.com/rapidftr/RapidFTR.git"
"Correlation Jaccard Text-Real","0.75"
"Correlation Cosine Text-Real","0.77"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"74","70","0.9764352496686967","0.9727272727","0.880952381","0.9930421160616397","0.9675062666817077"
"74","82","0.9488166302925185","0.9724770642","0.4615384615","0.9929769619158868","0.7908745952947444"
"74","32","0.8843676371538348","0.9115044248","0.1578947368","0.9763033175355451","0.43164102394005155"
"74","83","0.9249658944038867","0.9082568807","0.425","0.9755588640493492","0.764093177458341"
"74","37","0.8192784566078665","0.9115044248","0.1454545455","0.9763033175355451","0.41066160187147627"
"74","43","0.6440946099714777","0.9026548673","0.14","0.9737497899623966","0.40929374234328036"
"74","1","0.5605513875922573","0.875","0.0","0.9656226926010073","0.0"
"74","75","0.7855802179369047","0.9082568807","0.425","0.9755588640493492","0.764093177458341"
"74","66","0.8072057333326068","0.8828828829","0.1","0.9680458399306588","0.3903600291794132"
"70","82","0.9873522671266677","0.9636363636","0.4285714286","0.9906650217314812","0.7705053044508512"
"70","32","0.8318942337290071","0.9375","0.1896551724","0.9836092547280011","0.48852715085276033"
"70","83","0.8297619267357547","0.8828828829","0.3953488372","0.968140311077554","0.7440697862050945"
"70","37","0.7756856277706407","0.9375","0.1379310345","0.9836092547280011","0.39789178504159506"
"70","43","0.6114813496067079","0.9285714286","0.1320754717","0.9811429907045252","0.39629696195060854"
"70","1","0.5144541809021624","0.9009009009","0.0","0.9733771968612005","0.0"
"70","75","0.7379792668376536","0.9","0.3953488372","0.9732109452082894","0.7440697862050945"
"70","66","0.7522624974492086","0.9090909091","0.0930232558","0.9757955290278331","0.37712361663282534"
"82","32","0.7591170110247054","0.9196428571","0.0681818182","0.9786250885135744","0.2297518743202451"
"82","83","0.7600307876908712","0.8990825688","0.2258064516","0.972851483965895","0.5384615384615385"
"82","37","0.7260924027957374","0.9196428571","0.0731707317","0.9786250885135744","0.24174688920761409"
"82","43","0.5666146270028133","0.9279279279","0.0857142857","0.9809523809523811","0.2727272727272727"
"82","1","0.46765070425948646","0.8828828829","0.0","0.9679750047165977","0.0"
"82","75","0.6216577916924887","0.8990825688","0.1176470588","0.972851483965895","0.3478260869565218"
"82","66","0.6550031306739328","0.8909090909","0.0416666667","0.9704040549717553","0.16903085094570328"
"32","83","0.919433819068264","0.8909090909","0.175","0.9704873213364342","0.46409548089225716"
"32","37","0.9273974987096258","1.0","0.8275862069","1.0","0.9509146221003928"
"32","43","0.7730336719567651","0.9724770642","0.6206896552","0.9929769619158868","0.8726150980146953"
"32","1","0.5950806377276429","0.9266055046","0.0","0.9806865237856619","0.0"
"32","75","0.8789080231191191","0.8909090909","0.175","0.9704873213364342","0.46409548089225716"
"32","66","0.9395364239748977","0.9174311927","0.0967741935","0.9781383788084238","0.3592106040535498"
"83","37","0.8224298724011688","0.8909090909","0.1578947368","0.9704873213364342","0.4310527248642598"
"83","43","0.651233425652569","0.8990825688","0.1515151515","0.972851483965895","0.41666666666666674"
"83","1","0.59936685911301","0.9423076923","0.0","0.9849370589540278","0.0"
"83","75","0.8644837484888123","0.9801980198","0.3103448276","0.9949748743718593","0.6428571428571428"
"83","66","0.8881139592745648","0.9514563107","0.1904761905","0.9874086740295296","0.5275043787166296"
"37","43","0.8255497337638009","0.9724770642","0.6923076923","0.9929769619158868","0.9025419790150205"
"37","1","0.5815293859517819","0.9266055046","0.0","0.9806865237856619","0.0"
"37","75","0.7417719293300171","0.8909090909","0.1578947368","0.9704873213364342","0.4310527248642598"
"37","66","0.7607536039118517","0.9174311927","0.1071428571","0.9781383788084238","0.3779644730092272"
"43","1","0.44635591991669116","0.9351851852","0.0","0.9830411166678088","0.0"
"43","75","0.6093143319653634","0.8990825688","0.1875","0.972851483965895","0.48"
"43","66","0.6371974957864455","0.9259259259","0.1363636364","0.9804981853232143","0.4264014327112209"
"1","75","0.5511773567813887","0.9423076923","0.0","0.9849370589540278","0.0"
"1","66","0.5511746935826058","0.9708737864","0.0","0.9925588870087707","0.0"
"75","66","0.9286351099159418","0.9514563107","0.1363636364","0.9874086740295296","0.4264014327112209"
