"Repository","https://github.com/tip4commit/tip4commit.git"
"Correlation Jaccard Text-Real","0.49"
"Correlation Cosine Text-Real","0.52"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"55","67","0.998922778981339","1.0","0.8636363636","1.0","0.9621023987294832"
"55","51","0.9993304568328727","0.9285714286","0.5263157895","0.9811320754716981","0.8274288037841212"
"55","71","0.984565529905503","1.0","0.7727272727","1.0","0.9322944450820391"
"55","77","0.9778489017826458","0.8928571429","0.2272727273","0.9709195467257716","0.5913123959890826"
"55","97","0.9730531645716806","0.8928571429","0.0909090909","0.9709195467257716","0.3730019232961255"
"55","118","0.8315260864277483","0.5","0.3103448276","0.8120207067920382","0.6445033866354896"
"67","51","0.9978257656183586","0.9285714286","0.5","0.9811320754716981","0.8131249357707345"
"67","71","0.9823260043761924","1.0","0.8095238095","1.0","0.9448090244404383"
"67","77","0.9773858622941052","0.8928571429","0.2380952381","0.9709195467257716","0.6030226891555274"
"67","97","0.973026687094743","0.8928571429","0.0952380952","0.9709195467257716","0.38138503569823684"
"67","118","0.8211956954893638","0.5","0.275862069","0.8120207067920382","0.6047431568147635"
"51","71","0.9848515543873316","0.9285714286","0.4473684211","0.9811320754716981","0.7820743005880013"
"51","77","0.977276577245039","0.8928571429","0.1315789474","0.9709195467257716","0.4652421051992354"
"51","97","0.9722911460712407","0.8928571429","0.0526315789","0.9709195467257716","0.28644594961577313"
"51","118","0.8344477780759294","0.5","0.3170731707","0.8120207067920382","0.6713171133426189"
"71","77","0.9919639353297491","0.8928571429","0.2631578947","0.9709195467257716","0.6286946134619316"
"71","97","0.9892615906612056","0.8928571429","0.1052631579","0.9709195467257716","0.3999999999999999"
"71","118","0.84405729454538","0.5","0.2068965517","0.8120207067920382","0.5107539184552492"
"77","97","0.9981821862426363","1.0","0.2857142857","1.0000000000000002","0.6324555320336759"
"77","118","0.8473904018666505","0.5185185185","0.0952380952","0.8221083073205848","0.32444284226152503"
"97","118","0.8421361290053966","0.5185185185","0.0526315789","0.8221083073205848","0.23570226039551587"
