"Repository","https://github.com/alphagov/whitehall.git"
"Correlation Jaccard Text-Real","0.52"
"Correlation Cosine Text-Real","0.58"
"Task_A","Task_B","Text","Test_Jaccard","Real_Jaccard","Test_Cosine","Real_Cosine"
"571","589","0.9162220633708492","0.8202247191","0.9280821918","0.9491286683853851","0.9810633711214474"
"571","569","0.9495837361039317","0.7894736842","0.1379310345","0.9392072528377177","0.4878048780487804"
"571","793","0.7271367854857507","0.5567375887","0.0501672241","0.8401550181132329","0.26915844593314475"
"571","1671","0.6472682071937503","0.2919463087","0.0371900826","0.6446036254878611","0.13511320473331348"
"571","1367","0.6487940593872419","0.1138790036","0.0292207792","0.4151994368861455","0.16943474841747153"
"571","1561","0.45785281445045134","0.1058394161","0.0295081967","0.4132538678160193","0.1765469659009499"
"571","499","0.696393737829041","0.1123595506","0.0430463576","0.44365399607577943","0.236951850387359"
"571","687","0.7557431589553876","0.3544776119","0.2595155709","0.7208148015428103","0.6406922532749176"
"571","1053","0.5372431869694013","0.1722846442","0.0233333333","0.5380761047532185","0.15985651976081278"
"589","569","0.7524015398668531","0.6240601504","0.0931034483","0.8691844060638473","0.37408107969992493"
"589","793","0.6331898867160002","0.612244898","0.0415224913","0.8652902194186084","0.22981506530222942"
"589","1671","0.5867235544076863","0.337254902","0.0360169492","0.683952039591013","0.13091261600214088"
"589","1367","0.6078934657261255","0.135021097","0.027027027","0.4498572456924266","0.1563600868038149"
"589","1561","0.4423946596389819","0.1260869565","0.0273037543","0.44814709738602837","0.16311252337465149"
"589","499","0.6535487314900367","0.1294642857","0.0378006873","0.46967027150377133","0.21103178186108745"
"589","687","0.8159361351549362","0.4241071429","0.2717391304","0.7693631924601718","0.6524823424355335"
"589","1053","0.5343574403761592","0.2062780269","0.0208333333","0.5807219876450496","0.14317199670525443"
"569","793","0.7232689971650298","0.6382978723","0.0625","0.8771929824561403","0.2153527608232662"
"569","1671","0.6350144044948735","0.3187250996","0.0078740157","0.6632213378317426","0.041030496993110906"
"569","1367","0.616594597180546","0.1359649123","0.0289855072","0.4484050147172297","0.10830607221477646"
"569","1561","0.4200283227431917","0.1165919283","0.0625","0.4222203716000601","0.2153527608232662"
"569","499","0.6665603469783935","0.1408450704","0.0952380952","0.4908478401655187","0.30151134457776363"
"569","687","0.6349070388934313","0.3672566372","0.0350877193","0.7196065958550796","0.1318760946791574"
"569","1053","0.4992503743910347","0.1826484018","0.0517241379","0.5382843956004143","0.19069251784911845"
"793","1671","0.46506374745861884","0.3424657534","0.0","0.6807290427601058","0.0"
"793","1367","0.4957013448137114","0.15625","0.0","0.475651494154494","0.0"
"793","1561","0.3015557333298596","0.1843575419","0.0196078431","0.5444143805583448","0.07407407407407407"
"793","499","0.5236953484869039","0.1704545455","0.0","0.533507245522184","0.0"
"793","687","0.5188374667072135","0.4315789474","0.02","0.7639898923124281","0.08559209850218256"
"793","1053","0.35282590294115274","0.2065217391","0.0","0.5628548804962645","0.0"
"1671","1367","0.49175807122879106","0.2352941176","0.0167364017","0.5803810000880093","0.09432021243765372"
"1671","1561","0.3284119288212635","0.1791044776","0.0169491525","0.5080005080007619","0.09892387336589958"
"1671","499","0.5420636416123356","0.1343283582","0.0083682008","0.4333890711087691","0.050539869571926896"
"1671","687","0.468116961823939","0.4155844156","0.0069444444","0.7413845833140437","0.030816677568068277"
"1671","1053","0.3392347005170463","0.2824427481","0.0043103448","0.640578606938517","0.030499714066520935"
"1367","1561","0.3328462884936181","0.0487804878","0.0377358491","0.17118419700436519","0.13576884666042613"
"1367","499","0.5774836721869496","0.0256410256","0.0769230769","0.09701425001453319","0.25012215979228897"
"1367","687","0.5471595489276546","0.2695652174","0.0096153846","0.6141624904811132","0.04161251892882395"
"1367","1053","0.33173771153713955","0.4328358209","0.0666666667","0.753246753246753","0.2261335084333227"
"1561","499","0.38294183345638494","0.320754717","0.0392156863","0.6549370092500066","0.1403724812687193"
"1561","687","0.3365571955259062","0.1929824561","0.0303030303","0.5185449728701348","0.12535414694482047"
"1561","1053","0.3257315236492953","0.075","0.0227272727","0.24618298195866545","0.08606629658238703"
"499","687","0.5293958637328978","0.1926605505","0.0098039216","0.5288565345953851","0.0430730492253948"
"499","1053","0.39319450634426617","0.0526315789","0.0222222222","0.18490006540840973","0.08451542547285164"
"687","1053","0.4319123383044324","0.46","0.0106382979","0.7907562887984082","0.05096471914376255"
